system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,0.0,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,1190.9871928691864,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,496.3232484004077,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,591.8530470869119,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,240.69321004970402,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,1610.1333354711533,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,1626.2151518284106,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,400.6510970592499,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,20714.37523399708,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,149.5399426011478,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,263843.3514709205,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,203165.44245500397,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,317532.472777085,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,0.0,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,85522.99690178398,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,43527.85611972927,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,21977.77945860671,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,20380.86712427444,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,38098.639247758256,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,1208.1863752124648,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,36562.47489408699,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,23851.906343900282,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,5034.4881562001565,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,3332.6917126383264,
0000862acb383ef8dde0,DZA,DZA.7_1,Algeria,BÃ©char,Colomb-BÃ©char|Bechar,4996.322497463723,
0000f4cd148d34f8bc9e,DZA,DZA.1_1,Algeria,Adrar,DuperrÃ©,13977.49572634697,
000075d5221b5f06f09d,MAR,MAR.9_1,Morocco,MeknÃ¨s - Tafilalet,,178154.64810510137,
000039ec14680d41579b,DZA,DZA.44_1,Algeria,Tindouf,Tiaret,3338.411418914795,
000025bab4da20c10534,MAR,MAR.3_1,Morocco,FÃ¨s - Boulemane,,106028.60409290977,
0000a729f6df5f88baf2,MAR,MAR.11_1,Morocco,Rabat - SalÃ© - Zemmour - Zaer,,80762.95308319833,
0000f812f55fcc62db10,MAR,MAR.1_1,Morocco,Chaouia - Ouardigha,,228295.63555371333,
000072342323ae199fe8,MAR,MAR.13_1,Morocco,Tadla - Azilal,,103457.4874228441,
00008b899c1371d90055,MAR,MAR.12_1,Morocco,Souss - Massa - DraÃ¢,,534744.906629018,
0000c9f79b241823157f,MAR,MAR.8_1,Morocco,Marrakech - Tensift - Al Haouz,,418548.3869670147,
00004e3193531c4657dd,MAR,MAR.5_1,Morocco,Grand Casablanca,,0.0,
0000716943d026c6a28c,MAR,MAR.2_1,Morocco,Doukkala - Abda,,374526.9176238491,
0000c505d46fa3ffd8a0,MRT,MRT.1_1,Mauritania,Adrar,,871.1085649132729,
00007846c1adc2533a38,MRT,MRT.7_1,Mauritania,Hodh ech Chargui,Eastern Hodh|Hodh Charghi|Hodh Oriental,610754.848625958,
00007963755b337d8340,MLI,MLI.9_1,Mali,Timbuktu,Timbouctou|Tombouctou|TimbuctÂ|Timbuctu|Tombuktu|TombuctÃº|Tomboucto,113722.13301026821,
00000cc9f86a5150fd8e,MLI,MLI.4_1,Mali,Kidal,,7549.439233929854,
0000cbe5ae5b7597717f,MLI,MLI.2_1,Mali,Gao,,14010.890731990337,
00001585d27a850541e6,BFA,BFA.12_1,Burkina Faso,Sahel,,30393.877176404,
0000c770f163a3ab2a9e,MLI,MLI.6_1,Mali,Mopti,,103126.95068312474,
0000046e2cf5fd905b55,BFA,BFA.10_1,Burkina Faso,Nord,,36065.96077781916,
0000f2e9059432203744,BFA,BFA.4_1,Burkina Faso,Centre-Nord,,36917.11623990536,
0000b4e0282372ebaf08,BFA,BFA.8_1,Burkina Faso,Est,,23223.236163258553,
0000c9a94e51cd4db13e,BFA,BFA.11_1,Burkina Faso,Plateau-Central,,19326.59475934833,
00002cdc08b8bbaa4fba,BFA,BFA.3_1,Burkina Faso,Centre-Est,,31289.011082079243,
00003de32091289a3c2f,BFA,BFA.7_1,Burkina Faso,Centre,,80130.917302612,
0000d565377a34d68200,BFA,BFA.6_1,Burkina Faso,Centre-Sud,,16012.786662184959,
000096cf0d6569f37a73,GHA,GHA.7_1,Ghana,Upper East,,147828.62756550382,
00004f4af390e756511e,TGO,TGO.5_1,Togo,Savanes,RÃ©gion des Savanes,50920.008864846655,
00004a18528299f30e7b,GHA,GHA.6_1,Ghana,Northern,,233062.76135504537,
0000f8925c5c9e5607e8,BFA,BFA.5_1,Burkina Faso,Centre-Ouest,,33916.0002506775,
0000febc2c03e8095cc1,GHA,GHA.8_1,Ghana,Upper West,,85216.44441061931,
0000f1464e81665a2322,BFA,BFA.1_1,Burkina Faso,Boucle du Mouhoun,,56454.84912572269,
